disp_pwm@1100e000 		→ disp_pwm
imp_iic@11017000 		→ imp_iic
nfi@11018000 			→ nfi
nfiecc@11019000 		→ nfiecc
usb_sif@11210000 		→ usb_sif
usb1p_sif@11210000 		→ usb1p_sif
audio@11220000 			→ audio
audio_sram@11221000 		→ audio_sram
msdc@11230000 			→ msdc
msdc@11240000 			→ msdc
msdc@11250000 			→ msdc
msdc@11260000 			→ msdc
msdc1_top@11c90000 		→ msdc1_top
msdc1_pad_macro@11c90000 	→ msdc1_pad_macro
mipi_rx_ana_csi1@11c20000 	→ mipi_rx_ana_csi1
mipi_rx_ana_csi2@11c30000 	→ mipi_rx_ana_csi2
mipi_tx0@11c80000 		→ mipi_tx0
msdc0_top@11cd0000 		→ msdc0_top
msdc0_pad_macro@11cd0000 	→ msdc0_pad_macro
disp_mutex0@14001000 		→ disp_mutex0
smi_common@14002000 		→ smi_common
smi_larb0@14003000 		→ smi_larb0
mdp_rdma0@14004000 		→ mdp_rdma0
mdp_ccorr0@14005000 		→ mdp_ccorr0
mdp_rsz0@14006000 		→ mdp_rsz0
mdp_rsz1@14007000 		→ mdp_rsz1
mdp_wdma0@14008000 		→ mdp_wdma0
mdp_wrot0@14009000 		→ mdp_wrot0
mdp_tdshp0@1400a000 		→ mdp_tdshp0
disp_ovl0@1400b000 		→ disp_ovl0
disp_ovl0_2l@1400c000 		→ disp_ovl0_2l
disp_rdma0@1400d000 		→ disp_rdma0
disp_wdma0@1400e000 		→ disp_wdma0
disp_color0@1400f000 		→ disp_color0
disp_ccorr0@14010000 		→ disp_ccorr0
disp_aal0@14011000 		→ disp_aal0
disp_gamma0@14012000 		→ disp_gamma0
disp_dither0@14013000 		→ disp_dither0
dsi0@14014000 			→ dsi0
disp_rsz0@14015000 		→ disp_rsz0
mm_mutex@14016000 		→ mm_mutex
smi_larb2@15001000 		→ smi_larb2
cam@15004000 			→ cam
cam_lut@15005000 		→ cam_lut
camd@15006000 			→ camd
cam_dma@15007000 		→ cam_dma
fdvt@1500b000 			→ fdvt
cam_inner@1500d000 		→ cam_inner
camd_inner@1500e000 		→ camd_inner
cam_inner_dma@1500f000 		→ cam_inner_dma
camsv0@15050000 		→ camsv0
camsv1@15051000 		→ camsv1
venc_gcon@17000000 		→ venc_gcon
smi_larb1@17010000 		→ smi_larb1
venc@17020000 			→ venc
venc_jpg@17030000 		→ venc_jpg
vdec@17040000 			→ vdec
mbist@17050000 			→ mbist
wifi@18000000 			→ wifi
